관측일시,저수위(EL.m),저수량(백만㎥),저수율(%),유입량(㎥/s),총 방류량(㎥/s),발전방류량(㎥/s),여수로방류량(㎥/s),기타방류량(㎥/s),용수공급량(㎥/s),댐유역평균강우량(㎥/s)
2009-01-01,173.92,1500.95,51.8,0,64.89,64.89,0,0,0,0
2009-01-02,173.79,1495.29,51.6,0.825,66.36,66.36,0,0,0,0
2009-01-03,173.67,1490.08,51.4,3.904,64.237,64.237,0,0,0,0
2009-01-04,173.54,1484.45,51.2,0,64.786,64.786,0,0,0,0
2009-01-05,173.41,1478.83,51,0,64.342,64.342,0,0,0,0
2009-01-06,173.28,1473.23,50.8,0.312,65.15,65.15,0,0,0,0
2009-01-07,173.15,1467.64,50.6,0.391,65.044,65.044,0,0,0,0
2009-01-08,173.02,1462.07,50.4,1.23,65.709,65.709,0,0,0,0
2009-01-09,172.88,1456.09,50.2,0,66.492,66.492,0,0,0,0
2009-01-10,172.74,1450.12,50,0,66.789,66.789,0,0,0,0
2009-01-11,172.61,1444.6,49.8,2.222,66.146,66.146,0,0,0,0
2009-01-12,172.47,1438.67,49.6,0,64.887,64.887,0,0,0,0
2009-01-13,172.33,1432.76,49.4,0,65.351,65.351,0,0,0,0
2009-01-14,172.2,1427.28,49.2,1.507,64.875,64.875,0,0,0,0
2009-01-15,172.06,1421.4,49,0,65.29,65.29,0,0,0,0
2009-01-16,171.92,1415.54,48.8,0,65.759,65.759,0,0,0,0
2009-01-17,171.78,1409.7,48.6,0,65.781,65.781,0,0,0,0
2009-01-18,171.64,1403.87,48.4,0,64.371,64.371,0,0,0,0
2009-01-19,171.51,1398.48,48.2,2.688,65.13,65.13,0,0,0,0.0896
2009-01-20,171.37,1392.68,48,0,64.952,64.952,0,0,0,0
2009-01-21,171.33,1391.03,48,0.931,20.052,20.052,0,0,0,0
2009-01-22,171.29,1389.38,47.9,0.957,20.066,20.066,0,0,0,0
2009-01-23,171.25,1387.73,47.9,0.797,19.885,19.885,0,0,0,0
2009-01-24,171.21,1386.08,47.8,2.003,21.076,21.076,0,0,0,0
2009-01-25,171.18,1384.85,47.8,7.361,21.655,21.655,0,0,0,0
2009-01-26,171.14,1383.2,47.7,0.216,19.255,19.255,0,0,0,0.3245
2009-01-27,171.11,1381.97,47.7,5.574,19.845,19.845,0,0,0,0
2009-01-28,171.07,1380.33,47.6,0,18.954,18.954,0,0,0,0
2009-01-29,171.04,1379.1,47.6,5.868,20.116,20.116,0,0,0,0
2009-01-30,171,1377.46,47.5,1.754,20.735,20.735,0,0,0,0.7857
2009-01-31,170.96,1375.82,47.4,1.634,20.604,20.604,0,0,0,1.4602
2009-02-01,170.92,1374.18,47.4,0.977,19.935,19.935,0,0,0,0
2009-02-02,170.89,1372.95,47.3,5.855,20.056,20.056,0,0,0,0
2009-02-03,170.81,1369.68,47.2,2.241,40.073,40.073,0,0,0,0
2009-02-04,170.73,1366.42,47.1,2.119,39.885,39.885,0,0,0,0
2009-02-05,170.65,1363.16,47,2.341,40.043,40.043,0,0,0,0
2009-02-06,170.57,1359.91,46.9,0.581,38.214,38.214,0,0,0,0
2009-02-07,170.49,1356.66,46.8,2.727,40.308,40.308,0,0,0,0
2009-02-08,170.43,1354.23,46.7,11.988,40.125,40.125,0,0,0,0
2009-02-09,170.35,1351,46.6,2.448,39.902,39.902,0,0,0,0
2009-02-10,170.27,1347.77,46.5,2.711,40.107,40.107,0,0,0,0
2009-02-11,170.19,1344.54,46.4,3.044,40.37,40.37,0,0,0,0
2009-02-12,170.11,1341.32,46.3,2.734,40.003,40.003,0,0,0,0.8328
2009-02-13,170.1,1340.92,46.2,35.447,40.1,40.1,0,0,0,26.9728
2009-02-14,170.24,1346.56,46.4,104.755,39.512,39.512,0,0,0,0
2009-02-15,170.26,1347.36,46.5,49.864,40.524,40.524,0,0,0,0.219
2009-02-16,170.22,1345.75,46.4,21.617,40.286,40.286,0,0,0,0
2009-02-17,170.15,1342.93,46.3,7.473,40.112,40.112,0,0,0,0
2009-02-18,170.1,1340.92,46.2,17.122,40.397,40.397,0,0,0,0
2009-02-19,170.04,1338.51,46.2,12.195,40.089,40.089,0,0,0,0
2009-02-20,169.96,1335.3,46,2.925,40.078,40.078,0,0,0,0.0896
2009-02-21,169.91,1333.3,46,16.821,40.004,40.004,0,0,0,0
2009-02-22,169.83,1330.1,45.9,3.192,40.229,40.229,0,0,0,0
2009-02-23,169.76,1327.3,45.8,5.075,37.425,37.425,0,0,0,0.1438
2009-02-24,169.69,1324.51,45.7,7.562,39.877,39.877,0,0,0,0.1843
2009-02-25,169.61,1321.32,45.6,3.146,40.009,40.009,0,0,0,0.1462
2009-02-26,169.55,1318.94,45.5,12.555,40.159,40.159,0,0,0,0
2009-02-27,169.47,1315.76,45.4,3.996,40.744,40.744,0,0,0,0
2009-02-28,169.39,1312.59,45.3,3.192,39.882,39.882,0,0,0,0
